LSOA code_2011,IDACI_Decile
E01017732,9
E01017733,8
E01017734,10
E01017703,10
E01017704,10
E01017719,9
E01017720,10
E01032958,10
E01032959,3
E01017651,10
E01017652,8
E01017657,10
E01017658,8
E01017701,8
E01017702,7
E01017642,10
E01017643,10
E01017673,9
E01017674,9
E01017659,5
E01017660,9
E01017661,5
E01017664,10
E01017705,3
E01017706,5
E01017707,3
E01017708,3
E01017665,2
E01017666,5
E01017667,5
E01017668,8
E01017697,9
E01017698,6
E01017699,6
E01017700,10
E01017634,5
E01017662,4
E01017663,4
E01032955,8
E01032961,4
E01017653,8
E01017654,5
E01017655,8
E01032956,10
E01032957,7
E01032962,9
E01017635,10
E01017636,8
E01017637,9
E01017638,10
E01017639,10
E01017640,10
E01017709,4
E01017710,4
E01017711,5
E01017712,3
E01017687,4
E01017688,7
E01017689,10
E01017690,9
E01017691,10
E01017692,10
E01017721,6
E01017722,7
E01017723,3
E01017724,5
E01017627,7
E01017628,7
E01017629,10
E01017630,9
E01017631,10
E01017632,10
E01017675,9
E01017676,10
E01017677,10
E01017678,10
E01017679,7
E01017680,9
E01017681,8
E01017682,10
E01017683,10
E01017684,10
E01017726,9
E01017727,10
E01017728,8
E01017729,10
E01017730,7
E01029876,7
E01029898,6
E01029907,6
E01029881,7
E01029884,3
E01029885,7
E01029900,6
E01029901,9
E01029917,5
E01029892,3
E01029893,9
E01029894,8
E01029895,10
E01029896,7
E01029911,9
E01029877,10
E01029878,10
E01029879,7
E01029908,10
E01029909,8
E01029910,2
E01029880,7
E01029921,8
E01029922,2
E01029923,6
E01029912,3
E01029913,8
E01029914,3
E01029915,7
E01029916,2
E01029918,5
E01029919,6
E01029920,5
E01029886,4
E01029887,7
E01029888,4
E01029889,2
E01029890,8
E01029891,6
E01029875,8
E01029899,10
E01029902,8
E01029906,9
E01029870,5
E01029872,9
E01029882,8
E01029883,8
E01029903,9
E01029904,9
E01029905,9
E01029871,7
E01029873,8
E01029874,7
E01029897,9
E01000027,1
E01000028,2
E01000029,4
E01000030,1
E01000031,5
E01000032,4
E01000110,5
E01000111,2
E01000112,3
E01000113,3
E01000034,2
E01000037,4
E01000038,4
E01000039,4
E01000063,2
E01000100,2
E01000101,2
E01000109,3
E01000114,3
E01000033,2
E01000060,2
E01000061,1
E01000062,2
E01000064,3
E01000065,2
E01000078,1
E01000080,2
E01000081,3
E01000082,3
E01000083,1
E01000102,2
E01000021,2
E01000022,3
E01000023,1
E01000024,3
E01000025,2
E01000077,2
E01000015,1
E01000016,2
E01000017,1
E01000018,1
E01000079,3
E01000035,3
E01000036,4
E01000107,4
E01000108,3
E01000066,5
E01000067,4
E01000069,6
E01000070,5
E01000071,4
E01000057,2
E01000073,3
E01000074,2
E01000075,2
E01000076,3
E01000013,2
E01000014,3
E01000059,2
E01000084,1
E01000085,3
E01000086,3
E01000103,1
E01000104,2
E01000105,2
E01000106,2
E01000007,2
E01000008,2
E01000010,2
E01000012,2
E01000006,5
E01000009,3
E01000011,3
E01000044,3
E01000068,4
E01000041,3
E01000042,1
E01000045,2
E01000046,3
E01000072,2
E01000054,2
E01000055,3
E01000056,2
E01000058,3
E01000095,3
E01000040,2
E01000043,2
E01000050,4
E01000052,3
E01000092,3
E01000053,2
E01000087,3
E01000088,3
E01000089,2
E01000090,2
E01000048,1
E01000049,2
E01000051,1
E01033587,2
E01033588,3
E01000091,1
E01000093,2
E01000094,2
E01000096,1
E01000019,2
E01000020,3
E01000097,2
E01000098,2
E01000099,2
E01032580,1
E01000248,10
E01000249,9
E01000250,4
E01000254,10
E01000292,6
E01000293,9
E01000167,3
E01000246,8
E01000247,8
E01000251,4
E01000252,6
E01000166,4
E01000168,8
E01000169,6
E01000172,6
E01000285,3
E01000287,3
E01000288,6
E01000289,1
E01000291,2
E01000294,6
E01000267,6
E01000268,2
E01000269,6
E01000270,7
E01000170,3
E01000171,2
E01000173,6
E01000174,5
E01000175,8
E01000228,6
E01000253,9
E01000279,10
E01000280,10
E01000286,3
E01000290,5
E01000271,7
E01000272,10
E01000273,5
E01000281,4
E01000282,8
E01000115,8
E01000116,8
E01000119,7
E01000120,7
E01000122,9
E01000117,6
E01000118,6
E01000121,1
E01000123,6
E01000124,3
E01000265,3
E01000266,9
E01000274,4
E01000320,7
E01000322,5
E01000275,5
E01000277,5
E01000283,10
E01000284,4
E01000321,5
E01000195,2
E01000229,4
E01000230,8
E01000231,5
E01000232,7
E01000233,6
E01000186,9
E01000187,5
E01000188,9
E01000189,1
E01000190,7
E01000191,9
E01000158,4
E01000159,5
E01000160,5
E01000161,5
E01000162,5
E01000324,6
E01000256,6
E01000258,8
E01000263,10
E01000264,5
E01000255,5
E01000257,3
E01000261,10
E01000262,3
E01000192,5
E01000193,6
E01000194,5
E01000226,2
E01000227,7
E01000299,5
E01000300,8
E01000302,5
E01000317,7
E01000318,6
E01000323,6
E01000276,10
E01000278,10
E01000301,10
E01000303,10
E01000304,6
E01000130,2
E01000132,3
E01000133,3
E01000234,5
E01000235,3
E01000156,6
E01000157,4
E01000163,2
E01000164,3
E01000165,5
E01000315,2
E01000197,6
E01000295,10
E01000296,6
E01000298,5
E01000125,2
E01000127,2
E01000128,2
E01000129,3
E01000131,6
E01000134,2
E01000198,6
E01000199,9
E01000204,9
E01000259,5
E01000260,4
E01000126,2
E01000151,1
E01000152,1
E01000153,1
E01000154,2
E01000176,2
E01000178,6
E01000184,1
E01000297,6
E01000316,4
E01000319,8
E01000196,5
E01000200,6
E01000201,9
E01000202,9
E01000203,5
E01000177,7
E01000179,8
E01000180,5
E01000181,10
E01000182,9
E01000185,2
E01000147,8
E01000148,2
E01000155,4
E01033572,2
E01033573,2
E01000239,4
E01000240,5
E01000241,8
E01000309,8
E01000237,8
E01000242,6
E01000243,7
E01000244,6
E01000245,3
E01000314,8
E01000183,7
E01000206,10
E01000207,8
E01000208,8
E01000210,8
E01000213,10
E01000236,7
E01000238,8
E01000310,6
E01000311,10
E01000205,8
E01000209,9
E01000211,4
E01000212,9
E01000216,8
E01000217,8
E01000150,3
E01000305,3
E01000306,8
E01000308,1
E01000312,4
E01000313,4
E01000145,6
E01000215,9
E01000218,8
E01000219,7
E01000220,8
E01000225,10
E01000135,6
E01000136,10
E01000144,7
E01000146,8
E01000214,9
E01000141,3
E01000221,2
E01000223,2
E01000307,4
E01000138,2
E01000142,3
E01000222,2
E01000224,3
E01000137,2
E01000139,4
E01000140,4
E01000143,2
E01007434,5
E01007435,1
E01007438,6
E01007439,5
E01007433,3
E01007436,4
E01007437,4
E01007440,1
E01007329,5
E01007331,5
E01007342,3
E01007343,2
E01007356,6
E01007357,2
E01007361,5
E01007362,9
E01007363,4
E01007355,7
E01007358,6
E01007359,4
E01007360,5
E01007386,9
E01007328,2
E01007330,6
E01007332,2
E01007333,1
E01007323,2
E01007324,2
E01007325,1
E01007326,3
E01007327,2
E01007411,1
E01007341,1
E01007345,4
E01007346,2
E01007347,6
E01007334,7
E01007335,5
E01007400,9
E01007404,5
E01007406,3
E01007408,5
E01007409,7
E01007410,2
E01032550,4
E01032551,6
E01007344,3
E01007402,1
E01007403,1
E01007405,3
E01007379,7
E01007380,8
E01007381,7
E01007387,6
E01007442,9
E01007444,5
E01007446,6
E01007336,2
E01007340,3
E01007415,5
E01007417,2
E01007441,5
E01007443,3
E01007445,4
E01007372,1
E01007373,1
E01007374,5
E01007375,5
E01007377,1
E01007378,1
E01007319,8
E01007321,8
E01007322,4
E01007337,3
E01007418,7
E01007419,9
E01007420,9
E01007425,10
E01007338,2
E01007339,1
E01007413,1
E01007414,3
E01007317,1
E01007318,1
E01007320,1
E01007416,1
E01007382,5
E01007383,8
E01007384,8
E01007385,4
E01007348,1
E01007349,3
E01007350,4
E01007351,5
E01007352,2
E01007353,3
E01007354,4
E01007458,4
E01007459,4
E01007460,4
E01007461,2
E01007462,1
E01007463,1
E01007369,1
E01007370,1
E01007371,2
E01007376,2
E01007447,4
E01007448,2
E01007449,3
E01007450,2
E01007427,8
E01007428,10
E01007429,4
E01007430,10
E01007431,6
E01007432,8
E01007364,3
E01007365,1
E01007366,5
E01007367,1
E01007368,3
E01007451,2
E01007452,5
E01007453,1
E01007455,6
E01032924,7
E01032925,3
E01007421,10
E01007422,10
E01007423,9
E01007426,8
E01007396,4
E01007397,3
E01007398,4
E01007399,7
E01007424,7
E01007388,6
E01007393,4
E01007394,1
E01007456,6
E01007457,4
E01007389,8
E01007390,4
E01007391,2
E01007392,3
E01007395,1
E01019144,7
E01019145,9
E01019146,8
E01019147,5
E01019148,10
E01019149,7
E01019150,5
E01019151,5
E01019152,9
E01019153,9
E01019154,8
E01019155,9
E01019162,10
E01019163,10
E01019156,1
E01019159,4
E01019164,1
E01019165,2
E01019166,4
E01019167,7
E01019168,7
E01019169,10
E01019170,8
E01019171,3
E01019161,5
E01019176,10
E01019177,1
E01019178,9
E01019179,9
E01019140,1
E01019160,3
E01019172,1
E01019173,4
E01019174,1
E01019175,3
E01019141,1
E01019142,1
E01019143,1
E01019157,1
E01019158,1
E01019180,7
E01019182,8
E01019184,4
E01033160,3
E01019138,4
E01019139,1
E01019185,7
E01019186,5
E01019187,5
E01021237,10
E01021238,10
E01021242,10
E01021250,10
E01021251,10
E01021245,3
E01021246,10
E01021248,8
E01021249,9
E01021252,9
E01021239,10
E01021240,9
E01021241,4
E01021243,10
E01021247,10
E01021244,9
E01021253,10
E01021255,10
E01021256,10
E01021258,6
E01021334,7
E01021336,7
E01021338,5
E01021339,4
E01021264,9
E01021329,5
E01021330,6
E01021332,10
E01021333,9
E01021335,7
E01021337,9
E01021340,6
E01021341,8
E01021345,9
E01021331,6
E01021342,4
E01021343,5
E01021344,6
E01021346,8
E01021254,9
E01021257,7
E01021259,8
E01021260,1
E01021261,5
E01021262,5
E01021263,5
E01021274,4
E01021279,3
E01021301,2
E01021303,4
E01021307,3
E01021308,6
E01021309,2
E01021312,4
E01021265,3
E01021267,3
E01021269,2
E01021270,1
E01021272,4
E01021271,1
E01021302,1
E01021304,1
E01021305,2
E01021306,2
E01021273,2
E01021275,6
E01021276,3
E01021277,4
E01021278,2
E01021266,4
E01021268,1
E01021318,1
E01021320,2
E01021321,4
E01021286,1
E01021288,2
E01021289,3
E01021290,1
E01021291,4
E01021287,4
E01021292,1
E01021293,3
E01021298,5
E01021319,2
E01021313,6
E01021314,1
E01021315,2
E01021316,2
E01021317,1
E01021322,1
E01021323,1
E01021324,1
E01021325,1
E01021327,1
E01021294,6
E01021295,5
E01021296,5
E01021297,4
E01021299,9
E01021280,8
E01021281,9
E01021282,6
E01021283,3
E01021284,10
E01021285,8
E01021300,2
E01021310,4
E01021311,3
E01021326,2
E01021328,2
E01022553,8
E01022554,8
E01022555,9
E01022556,4
E01022560,8
E01022493,9
